"abbrev_type","code","full_name"
"Round","DF","Division Finals"
"Conference","EC","Eastern Conference"
"Conference","WC","Western Conference"
"Division","AT","Atlantic Division"
"Division","ED","Eastern Division"
"Division","CD","Central Division"
"Division","WD","Western Division"
"Division","SE","Southeast Division"
"Division","MW","Midwest Division"
"Division","NW","Northwest Division"
"Division","SW","Southwest Division"
"Division","PC","Pacific Division"
"Playoffs","R1","Lost round 1"
"Playoffs","SF","Lost semi-finals"
"Playoffs","F","Lost finals"
"Playoffs","NC","Won NBA championship"
"Playoffs","AC","Won ABA championship"
"Playoffs","DT","Lost division tie"
"Playoffs","DF","Lost division finals"
"Playoffs","DS","Lost division semi-finals"
"Playoffs","DR","Lost division round-robin"
"Playoffs","CF","Lost conference finals"
"Playoffs","CS","Lost conference semi-finals"
"Playoffs","C1","Lost conference 1st round"
"Round","DT","Division Tiebreaker"
"Round","DSF","Division Semifinals"
"Round","CF","Conference Finals"
"Round","CFR","Conference First Round"
"Round","CSF","Conference Semifinals"
"Round","RR","Round Robin"
"Round","F","Finals"
"Round","QF","Quarterfinals"
"Round","SF","Semifinals"
"Round","FR","First Round"
"Division","EA","East Division"
"Division","WE","West Division"
"Playoffs","WC","Won Championship"
"Playoffs","LC","Lost Championship"
"Division","SO","South Division"
"Division","NO","North Division"
